Q1_A,Q1_B1
Strongly in Favour,new jobs
Strongly Opposed,Environmental concerns
Somewhat Opposed,I don't think the casino will improve the city as a place to live or as a destination
Somewhat in Favour,Jobs
Strongly Opposed,The liberal government has removed slots from racetracks in rural Ontario in planning for this casino in Toronto. I support the farming and racing industry
Strongly Opposed,will not add any social or cultural value to the city
Strongly Opposed,gov't abusing people who are poor and/or addicted to gambling
Strongly Opposed,Public health concerns - gambling addiction
Strongly Opposed,Negative impact on our existing Main Street businesses
Strongly Opposed,"Increase in undesirable traffic to the area, street crime, chronic gamblers, preys on poor and elderly, low grade tourism"
Strongly Opposed,Bad move for city building
Neutral or Mixed Feelings,Problem gambling and the crime that is associated with it concerns me
Strongly in Favour,employment opportunities
Strongly in Favour,"Build it in Toronto or it will go to Markham or elsewhere, we need the revenue"
Strongly Opposed,Will hurt economy
Strongly Opposed,It is not part of how I see our waterfront develop
Strongly in Favour,money for the community
Strongly Opposed,The GTA already has sufficient tourist attraction which doesn't need a casino to attrack more torist dollars
Strongly Opposed,gambling
Strongly Opposed,Encourages gambling addiction
Strongly Opposed,A casino in downtown Toronto is not the image of a world class city.
Strongly Opposed,the vast majority of casino areas in the world are surrounded by a low income slum
Somewhat in Favour,
Strongly in Favour,Good jobs in Toronto
Strongly in Favour,economic develipment
Strongly Opposed,addiction
Strongly Opposed,undesirable band aid solution
Strongly Opposed,Opportunities for organized crime
Somewhat Opposed,
Strongly Opposed,Degradation of surrounding area
Strongly in Favour,Economic benefits to the City of Toronto
Strongly in Favour,Jobs
Strongly Opposed,I work with vulnerable women in the city of Toronto and am worried about the effects of a casino on them.
Somewhat Opposed,"I'm against one on the waterfront, but I'm in favour of one on front street if the city gest more green space out of the deal. Our skyline also needs some good achitecture. Something this city lacks."
Strongly in Favour,"If other cities, including world-class cities, can successfully integrate a casino(s) into their environment, then why can't we?"
Strongly in Favour,decrease the city's debt
Somewhat in Favour,Employment and other economic benefits for the region.
Strongly Opposed,gambling addiction issues
Strongly Opposed,
Neutral or Mixed Feelings,"I think there are good and bad aspects of having a casino, but I think they balance out."
Strongly Opposed,Casinos take money away from the poor.
Strongly Opposed,I am not in favour of casinos in general.
Strongly Opposed,Not a fan of gambling as far as it being a suitable source of revenue generation
Strongly Opposed,Toronto will see little net financial benefit.
Strongly Opposed,promotes gambling
Strongly Opposed,casinos are a terrible way to raise money for public programs - our taxation system should be rebalanced to tax those of us who can pay instead of these indirect tax schemes
Strongly in Favour,Will bring tourism and is fun to do as long as in reason
Strongly Opposed,A casino will have a strong negative social impact on the community around it.
Strongly Opposed,"Gambling can be addictive, often to those who can't afford to lose the money involved and may have little resistence."
Neutral or Mixed Feelings,Good revenue
Strongly Opposed,Several casinos already within easy drive for anyone who cares to partake
Strongly Opposed,"Runs counter to the image that we should be projecting as a city: innovative, creative, cool, and progressive."
Strongly Opposed,Problem gambling/addiction and related health & social problems
Strongly Opposed,A casino is not in the best interests of  the City of Toronto
Strongly Opposed,
Strongly Opposed,know too many people destroyed by gambling
Somewhat Opposed,they provide very little positive spin-off business
Strongly Opposed,"Too many problems would stem from having a casino in Toronto (effect on the environment, traffic, public safety)"
Strongly Opposed,Gambling addictions
Strongly Opposed,Casinos are wastelands for depravity.
Somewhat in Favour,Tourism attraction equivilant to that of other world class tourist desitnations
Somewhat Opposed,"I do not think a Casino should be downtown. Traffic will be even more horrendous than it already is. North York, Scarborough or Etobicoke would make more sense."
Strongly in Favour,Job Creation
Strongly Opposed,It will have no net benefit to the city.
Strongly Opposed,"toronto does not need the problems that come with an addictive activity such as gambling, including crime"
Strongly Opposed,Will overtax resources and infrastucture (and not in a good way)
Strongly Opposed,"Impact on the neighbourhood where it will be placed will be strongly negative: Traffic, Poor Streetscape, Poor integration into the community with no benefit to it."
Strongly Opposed,It will make it easier for Torontonians to waste their money.
Strongly Opposed,Gambling addiction is a usually under-estimated cost to the city ansd society
Strongly Opposed,we don't need more gambling opportunities; many of those who lose money at casinos are not in the financial position to
Strongly in Favour,Good for the local economy--financial benefit
Somewhat in Favour,Revenue for the city
Strongly Opposed,"Not an ""amenity"" that everyone can use"
Strongly Opposed,Gambling is addictive and destroys lives and families -- we shouldn't be promoting it
Strongly Opposed,gambling exploits the poor
Strongly Opposed,Socially corrosive
Strongly in Favour,
Strongly Opposed,We don't need it
Strongly Opposed,"Increase in crime, unnecessarily"
Somewhat Opposed,Increased crime
Strongly Opposed,Location of the casinos should not be downtown since TTC and traffics in and out of downtown already bad enough.
Strongly Opposed,"It may attract desperate people who can't afford to lose the money and create new gambling addicts, especially since it has a big city population from which to draw customers."
Strongly Opposed,negatively affect vulnerable people
Strongly Opposed,I'm concerned about the social ills associated with Casinos and don't want one in Toronto
Strongly Opposed,Causes gambling addiction
Strongly Opposed,"Unsavory foreign ""business men"" using it for money laundering etc. i.e.brings higher level crime"
Strongly Opposed,"I do not believe that it will generate any new revenues for municipal or provincial governments; I believe that it will take $ away from other Ontario casinos such as Niagara, Rama and Windsor. The province has more than enough gambling opportunities/outlets, there is a time to recognize that enough is enough."
Strongly Opposed,gambling destroys lives lived
Strongly Opposed,"Societal drawbacks (bankruptcies, etc) far outweigh any economic benefits"
Strongly in Favour,people travel outside of Toronto now to play - lost revenue
Somewhat in Favour,Provide jobs
Strongly Opposed,More traffic
Strongly Opposed,Debasement of cultural capital.
Strongly Opposed,Casino's are evil. They trap people inside the building and essentially siphon money out of their pockets.
Neutral or Mixed Feelings,"depends where - if at the Ontario Place grounds, seems reasonable, should not be located in a residential area"
Strongly Opposed,does not fit in with the city.
Strongly in Favour,create employment
Strongly Opposed,Casinos do not help with local economic nor social development
Strongly Opposed,Research.
Strongly Opposed,Social consequencess
Neutral or Mixed Feelings,I don't know enough about the project to have a strong opinion.
Somewhat Opposed,downtown traffic is unsustainable as it is without adding casino traffic
Strongly Opposed,We don't need an economy based on gambling on the city
Strongly Opposed,Provides zero cultural impact
Strongly Opposed,"Casinos function as a tax on the people least able to pay more taxes. If governments need more money, they should raise taxes on people who can pay them."
Strongly Opposed,Gambling is an addiction
Strongly Opposed,"would cheapen Toronto's image, turning it into another Las Vegas"
Strongly in Favour,new attraction
Strongly Opposed,"Casinos are not built to be an inclusive part of a community, but as an island. In so doing they brand that region into an area not suitable for other businesses, homes or parks. They create a vacuum."
Strongly Opposed,Potential for benefit is way overstated.
Neutral or Mixed Feelings,"Personally, I think the public health costs are not worth it."
Strongly Opposed,Will drain money away from local businesses.
Strongly Opposed,"a casino would alter the down town culture in a significantly negative way, in my opinion."
Neutral or Mixed Feelings,Encourages an addiction to gambling
Strongly Opposed,"It is a hidden form of taxation, usually on the poor"
Strongly Opposed,the sick culture that surrounds professional gambling (having a 'champions' across the street from me is bad enough)
Neutral or Mixed Feelings,Gambling - not being the best form of development!
Strongly in Favour,"casinos and all they entail - entertainment, tourists, conventions, jobs - are all good for Toronto"
Strongly in Favour,Further development of tourist attractions
Strongly Opposed,
Somewhat in Favour,new tourist attraction
Strongly Opposed,Casinos kill stores and restaurants
Strongly in Favour,section 37 money for public transportation
Strongly Opposed,casinos - we already have race tracks and casinos - and we don't need more gambling
Strongly Opposed,Other ways we can get revenue
Somewhat Opposed,Do not generally like the atmosphere a casino brings with it
Strongly Opposed,It promotes the wrong image of Toronto
Strongly in Favour,"Many people gamble, and do so at Niagara, or Rama. If they gamble instead in Toronto, then Toronto would gain some benefit instead of the profits going to another locale."
Strongly Opposed,Social problems in area of casino
Strongly Opposed,Casinos do not benefit the community as a whole.
Strongly Opposed,People who have little money will gamble it away
Strongly Opposed,Negative financial impact on the other entertainment venues in the city.
Strongly Opposed,Not convinced the promised economic benefits will be realized
Somewhat Opposed,The problems of compulsice / addictive gamblers.
Strongly Opposed,Doubts there would be any financial benefit to the city
Strongly Opposed,"will damage the prospects of other casions, especially Rama - why bother going there when there is one in town"
Strongly Opposed,Economic benefits to city coffers have been overstated.
Strongly Opposed,Casinos are sick unhealthy places that encourage addiction
Strongly Opposed,Casinos are a tax on the wrong people.
Strongly Opposed,"I support the Arts in Toronto and believe the arts, when supported give Toronto its unique identity and make it an interesting destination for tourism and for attracting investment in the city. Gambling will not create a unique city which is why people travel to a place. Gambling will create yet another strip-mall city."
Neutral or Mixed Feelings,To let the City know that I am concerned about Gambling Addiction
Strongly Opposed,Do not want a casino in Toronto
Strongly Opposed,"Gambling can become addictive, can destroy indiviual's lives and families."
Strongly Opposed,"Within our big city it makes it easier for those addicted to overspend, go into debt =family tensions, even suicide"
Somewhat in Favour,Believe people have the right to choose
Strongly Opposed,Perpetuates gambling addiction
Strongly Opposed,It takes advantage of the poor.
Strongly Opposed,it promotes gambling addictions and illegal and violent behaviours
Strongly Opposed,negative consequences of gambling
Strongly in Favour,Economy
Somewhat Opposed,Gambling is soically dangerous
Somewhat Opposed,Casino Gambling will overtake other attractions that are more deserving
Somewhat in Favour,"ICasinos, albeit diststeful, are here. If they don't build it in Toronto, it will be in Pickering or Mississauga. Why should we not get the financial benefit?"
Strongly Opposed,Casinos encourage gambling which is highly addictive.
Strongly in Favour,I enjoy going to a casino
Strongly Opposed,danger of creating gambling addicts and affecting personal lives of those impacted such a spouses and children
Strongly Opposed,The economic consequences of casinos
Strongly in Favour,Financial revenues for the city - benefit to many different areas - Toronto needs outside money to succeed in the global
Somewhat Opposed,The waterfront is NOT the place for such a business
Strongly Opposed,prefer destination casinos such as Falls View/ Casino Rama
Strongly Opposed,Increases gambling addiction and crime
Strongly Opposed,Casino's are unhealthy for communities and the wrong way to raise tax revenue.
Strongly in Favour,Get some excitment in the city
Strongly in Favour,It will bring in a LOT of money for the city.
Strongly Opposed,It is being shoved down our throats by the province and the OLG. To be fair to the city a poll of every citizen should be done.
Somewhat Opposed,societal effects of gambling
Strongly in Favour,Jobs
Strongly Opposed,it is an addictive actvty
Strongly Opposed,lack of vibrant street life if located in downtown toronto
Somewhat in Favour,city could use the money
Somewhat Opposed,gambling very addictive
Somewhat in Favour,It will generate significant construction and other jobs which is good for the city.
Strongly Opposed,Ruins neighbourhoods
Strongly in Favour,jobs
Strongly Opposed,We do not need any more vices destroying people and their families. The distance necessary to travel to engage a gambling addiction is often deterrent enough to prevent gambling abuse.
Somewhat Opposed,Unethical
Strongly Opposed,Casinos do not contribute to strong vibrant community and city development
Strongly in Favour,Bring in tourism
Strongly Opposed,concerns about addiction
Somewhat in Favour,Generate Money for Govrnment Services
Strongly Opposed,too much increased traffic in the city
Strongly Opposed,gambling is a tax on the poor
Strongly in Favour,jobs
Strongly Opposed,"Potential for negative community impacts such as increased gambling addiction, substance misuse and crime."
Strongly Opposed,I don't want Toronto to become like Las Vegas or Atlantic City.
Strongly in Favour,I fly to vegas for this sort of entertainment
Somewhat Opposed,The very thought of putting a casino downtown or at the Exhibition
Strongly Opposed,Of no real benifit to the city. In the long run it could be a costly albattros.
Strongly in Favour,tourism increase
Strongly Opposed,"Casinos don't create wealth, they only redistribute it.  The net economic benefit will be negative."
Strongly Opposed,Negative effects on areas surrounding casinos
Strongly in Favour,
Somewhat Opposed,Casinos disrupt and detract from urban spaces.
Strongly Opposed,It sacrifices community wellbeing for financial gain which is sick and not befitting of our city. People who were previously unexposed will become addicted and this will ruin lives. IT'S A FACT.
Strongly Opposed,Casinos contribute to social problems which will have strong budget implications.  There is unlikely to be any net revenue gain when associated externalities are considered
Strongly in Favour,It will generate money in the city from visitors
Strongly Opposed,Casinos feed gambling and alcohol addictions
Neutral or Mixed Feelings,brings revenue to the city
Strongly Opposed,"I think that the casino complex would be a net negative for the economy, with most of the profits going to foreign corporations"
Strongly Opposed,much too crass a system for downtown
Strongly Opposed,casinos are simply tacky- there are other ways for the city to generate income
Strongly Opposed,
Somewhat in Favour,The city could defintely use the extra tax/rental revenue
Somewhat in Favour,Toronto will make  money  to help pay down the deficit
Strongly in Favour,Income generated for the city
Strongly in Favour,"Tourism would strongly benefit, not just for gamblers"
Neutral or Mixed Feelings,Doesn't seem like a major issue.  Is it the government's role to control the activities of it's citizens?
Strongly Opposed,The Numbers Do Not Add Up
Strongly in Favour,money
Strongly in Favour,Jobs
Strongly Opposed,Gambling should not be encouraged. It is a constly addiction.
Somewhat in Favour,"I see people from Toronto travelling to other locations to attend a Casino. If there was one in Toronto, they would spend their money in our city."
Strongly Opposed,"Prime real estate in the city will be wasted - the city should be investing in more green space, spaces for people of all ages and interests to enjoy, Casinos are an eye sore and are built to keep people in, not promote any exploration outside of them"
Strongly Opposed,Household debt is already at record levels. Why should we (as citizens) add pressure on family's finances?
Strongly Opposed,There is plenty of research to indicate that casinos create social ills by making it easy for gamblers to lose massive amounts of money and become entrenched in debt - to the detriment of their own health and that of their family's.
Strongly in Favour,Gambling
Strongly Opposed,"The casino will bring unwanted and unscrupulous behaviour to the downtown area. Casino's lead to crime, drugs and excessive alcohol consumption."
Strongly in Favour,tourism
Strongly Opposed,
Strongly Opposed,Won't contribute a good image to the city.
Somewhat Opposed,"Laziest most unimaginative way to attempt to create jobs, increase tourism and raise tax revenue—why not throw in some bordellos and opium dens as well?"
Strongly in Favour,Provides a top-rate entertainment venue with subsidized tickets
Strongly in Favour,Making this city a world class city
Somewhat in Favour,Attraction of investment and world class developments
Strongly in Favour,Revenue for the city
Strongly Opposed,There already is a casino in Niagara that people can attend
Strongly in Favour,If Toronto does not get a casino we will lose Conventions Tourist & tax dollars
Strongly Opposed,Gambling
Strongly in Favour,Creates jobs
Strongly Opposed,crime
Strongly Opposed,Attracts Rednecks
Strongly Opposed,Increased traffic congestion
Strongly in Favour,I see no reason not to
Strongly Opposed,"Waterfront, Ontario Place and CNE lans should be for the people niot high rollers and those that can afford luxury condos"
Strongly Opposed,Public/social health. We don't need another place for mindless spending of money that many of us can ill afford as is.
Strongly Opposed,[weblink]
Strongly in Favour,Casinos have been proven to be excellent sources of municipal and provincial income
Strongly in Favour,Freedom - we should have the right to gamble if we want to.
Strongly Opposed,Do not know what social costs will be
Strongly Opposed,it will destroy many people
Strongly in Favour,"I'm not a heavy gambler, but when I do decide to go, I have to travel to Niagara Falls, Orillia or Woodbine Race Track."
Strongly Opposed,Casinos are sleazy and do not add benefits to any area
Strongly Opposed,depresses the area where it is located
Strongly Opposed,not appropriate people to bring into toronto
Strongly Opposed,addiction-public health problem and related cost
Neutral or Mixed Feelings,there are both positive and negative outcomes
Strongly Opposed,
Somewhat in Favour,I'd rather have it in Markham where I live than have to go downtown
Strongly Opposed,Casinos promote and enable gambling addiction which are financially ruinous not just to the gambler but to their families and associates.
Strongly Opposed,Addictive qualities of gambling
Strongly Opposed,It feed addiction
Strongly Opposed,Too many casinos/Gaming centres already all over ontario -- wonder how all those OLG sites are doing?
Strongly Opposed,It is a method of harvesting money from those who can least afford it. This is a conservative concept
Strongly Opposed,
Strongly in Favour,It will create jobs
Strongly Opposed,Public health costs
Strongly Opposed,Facilitates gambling addictions
Strongly in Favour,Jobs for the Hospitality and Tourism Industry
Strongly Opposed,Gambling is a vice
Strongly Opposed,Casinos feed gambling addictions and create a false sense of what makes for a full and happy life.
Strongly in Favour,Need to find new revenue streams - a casino will provide much-needed funds.
Strongly in Favour,An outstanding opportunity to have another world class entertainment opportunity for the city.
Strongly Opposed,Most vulnerable will lose more money
Strongly Opposed,Casinos require massive areas of parking and don't belong in an urban environment.
Strongly Opposed,Don't need to encourage people to gamble more
Strongly Opposed,brings all sorts of other issues such as gambling addiction
Strongly in Favour,"A source of income , employment, land tax revenue, tourist dollars,"
Strongly Opposed,Gambling harm our society.
Strongly in Favour,jobs
Strongly in Favour,World class entertainment
Strongly Opposed,entry of unsavoury casino operators into city life
Strongly in Favour,It would be nice to have a casino closer to home
Strongly Opposed,There are enough casinos in this province.
Somewhat Opposed,Attendant social problems attached to gambling
Strongly Opposed,"Casinos are proven to kill local businesses, especially neighbouring bars and restaurants"
Strongly in Favour,Cheaper for me than flying to Vegas which I do twice a year.
Strongly in Favour,more attractions in toronto
Strongly in Favour,"Casinos bring entertainment acts to the city (musicians, comedians) that would not otherwise tour here"
Strongly Opposed,Casinos cause gambling addictions.
Somewhat in Favour,"People can gamble on-line anywhere any time anyway, we might as well get some tax revenue"
Strongly Opposed,"They play to and take advantage of those with addictions, on pensions, with low income, and money is better spent addressing those social issues."
Neutral or Mixed Feelings,Don't really understand potential outcomes
Strongly Opposed,there are more than enough in the area
Strongly Opposed,Ruin local business
Strongly Opposed,Casinos are a sorrry excuse for revenue raising
Neutral or Mixed Feelings,casinos integrate seamlessly in European cities but somehow become grandiose developments in North America
Strongly Opposed,Casinos are not a viable long-term economic solution. Rarely do they benefit the communities in which they operate.
Strongly in Favour,Money for the City
Strongly Opposed,Makes it easy for people who are alrleady  problem gamblers to increase their addiction problems
Somewhat in Favour,"there are people, locals and tourists, would be interested in this entertainment"
Strongly in Favour,More Jobs
Strongly Opposed,incresaed poverty
Strongly Opposed,detrimental to gamblers thereby increasing social costs
Strongly Opposed,traffic
Strongly Opposed,don't need or want a Las Vegas clone here in  Ontario
Strongly Opposed,"City congestion - we simply do not have the infrastructure to support a casino, from urban space to the pollution and litter it will create"
Somewhat Opposed,negative social impact on the downtown area
Strongly Opposed,There are social costs to gambling that do not appear to be taken into account sufficiently.
Strongly Opposed,rukus
Somewhat in Favour,
Strongly Opposed,Traffic
Strongly Opposed,Social problems from gambling
Strongly Opposed,drains money from those who cannot afford it
Strongly in Favour,Fun
Strongly Opposed,It is likely to bring Mafia operations into the City
Strongly Opposed,Casinos kill all businesses around them the facts are indisputable
Strongly Opposed,Kill local business
Strongly Opposed,"At a time when there is so much economic uncertainty, people should be offered a guarantee of employment or income; and not just one more cruel temptation to gamble."
Strongly Opposed,Organized crime
Strongly Opposed,Will not provide good jobs
Strongly Opposed,It will lower the quality of life
Strongly Opposed,"I am worried about using prime land, such as the waterfront land, which should be a site for people to appreciate the waterfront, for a casino which attracts people who spend most of the time indoors gambling.  It seems a real waste of a non irreplaceable setting that should serve the broad population of Toronto and visitors other than casino visitors."
Strongly in Favour,Enjoy the slots.
Strongly Opposed,Crime
Strongly Opposed,Casinos are bad for local economies
Strongly Opposed,Casinos enable gambling addiction which hurts addicts and their loved-ones
Strongly Opposed,Promoting Gambling Addiction
Strongly Opposed,Opposed to facilitating gambling addictions.
Somewhat Opposed,Problem gambling and social issues surrounding casinos
Somewhat in Favour,The amazing proposals for the redevolopment of the Toronto Metro Convention Centre put forward by Oxford.
Strongly Opposed,"We have enough casinos in Ontario, Toronto doesn't need one."
Somewhat Opposed,i see no net benefit to having a gaming establishment in Toronto
Strongly Opposed,Encourages addictive behavior
Strongly Opposed,"Gambling is an addictive, damaging activity for a large number of people."
Somewhat in Favour,A large portion of my income comes from a related source (horseracing) for which I provide entertainment for patrons
Strongly Opposed,Casinos transfer money from poor and/or addicted people to those who are better off.
Strongly Opposed,"I have done economic impact studies and in this case, costs outweigh benefits"
Strongly Opposed,casino patrons are disproportionately represented by people who cannot afford to spend their money there
Strongly in Favour,generation of revenue for the province
Strongly Opposed,Gambling fosters addiction.
Strongly Opposed,They provide few jobs for the unemployed demographic
Strongly Opposed,
Strongly Opposed,gambling addiction and accessibility
Somewhat in Favour,"Increased Tax Revenue (for Province, and I assume some royalties to Toronto)."
Strongly in Favour,"Global world cities have casino(s) in their urban core.  London, Paris, Singapore, Madrid, Barcelona..."
Strongly Opposed,Health impact of gambling and drinking
Strongly in Favour,I like to play slot machines
Strongly Opposed,significant negative social impact as evidenced in wide scale research
Strongly Opposed,"A casino will end up adding costs to the city, and the potential revenue numbers are frankly imaginary."
Strongly Opposed,Organized Crime is always associated with casinos
Strongly Opposed,casinos lead to increased crime
Strongly Opposed,Casinos do not make money for their host communities
Strongly Opposed,It is an immoral method of squeezing money out of the unwary.  The only winner is the casino.
Somewhat in Favour,A well managed casino property could be positive for Toronto
Strongly Opposed,I don't think that it will a viable way to make money for the city
Somewhat in Favour,Toronto needs the revenue
Strongly Opposed,I believe that casinos are bad for communities.
Strongly Opposed,Gambling is likely to become an addictive activity withing it's community.  It should never be encouraged by a government
Strongly Opposed,People gambling outside their limits
Somewhat Opposed,Impact on local restaurants
Strongly Opposed,I feel a casino would increase crime and poverty in Toronto
Strongly Opposed,Crime
Strongly Opposed,devastating effect on addicted gamblers and their families
Strongly Opposed,Do not want to encourage gambling
Strongly Opposed,"Casinos offer short-term gain for long-term pain. They wreck neighbourhoods, not build them. I have been to four Canadian communites that have casinos; in each case the surrounding environment is hostile."
Strongly Opposed,traffic and parking issues
Somewhat in Favour,revenue for the city
Strongly Opposed,There are Negative impacts on the community.  I grew up near Niagara Falls and saw the impact there.
Strongly in Favour,"Other citys have casino's (windsor, Niagara falls) and they are doing fine"
Strongly Opposed,Crime will increase
Strongly Opposed,24 hour action
Strongly in Favour,"This is a city of culture, gambling is not something that is alien to the western world, why don't we have a casino here?"
Strongly Opposed,Potential negative mpact on local businesses in surrounding area and streetlife
Strongly Opposed,"As it's been said over and over, casino's are the kiss of death for a city. They destroy the urban fabric, they cause damage to the social wellbeing of our city and there are so many more important things to be developing in Toronto to make it a world class city, other than a casino. The economic benefits do not outweigh the social, environmental and cultural pitfalls that this project will entail."
Strongly Opposed,"a waste of our precious lands that could be better developed, especially if it's near the lake"
Strongly Opposed,Impose addiction to gambling.
Strongly Opposed,"The price the city will pay is to high, no real progress with this project"
Strongly in Favour,create more jobs
Strongly Opposed,no proven benefits from casinos in urban settings which are great enough to offset the bad effects
Strongly Opposed,Casinos are an easy way for local and provincial governments to get additional revenues by taking advantage of our weakness to gamble.
Strongly Opposed,I believe that casinos promote self-destructive lifestyles.
Strongly Opposed,poorer paying service jobs
Strongly in Favour,Destination Venue to compete with other major cities that have Casino and convention centre
Strongly Opposed,"Just feel gambling is wrong, so why give it a venue or rely on it as a source of revenue?"
Strongly Opposed,Promotes gambling and harmful to society.
Strongly Opposed,problem gambling and associated social problems
Strongly Opposed,Revenue does not outweigh the social costs
Strongly in Favour,Additional source of adult only entertainment
Strongly Opposed,Potential negative social and economic impact
Strongly in Favour,It will bring jobs and funds to a cash-strapped city.
Strongly Opposed,Problem Gambling and other negative social and economic effects such as increased crime outwiegh the potential benefits.
Strongly Opposed,casino's encourage gambling and gambling sucks money mostly from the most desparate and poor people
Strongly Opposed,"Will attract undesirables, instead of citizens and tourists who will appreciate the cultural richness of Toronto"
Strongly Opposed,Steals from the poor
Neutral or Mixed Feelings,I don't think we need it as there are already so many things for tourists to do
Strongly Opposed,Brings the criminal element
Strongly Opposed,"Strengthening a very harmful ""socially acceptable"" form of entertainment that does absolutely nothing to enhance/improve the lives of Torontonians."
Strongly in Favour,Torontonians already gamble but drive or bus outside the city to do so meaning Toronto jobs are lost and the environment damaged by the drive there and back
Strongly Opposed,The negative effects of gambling
Strongly Opposed,"I do not feel a casino ""fits"" with Toronto's brand - cultured, diverse, classy, clean, funky, historic..."
Strongly in Favour,brings revenue  to city
Strongly Opposed,Unacceptable harm reduction strategy
Strongly Opposed,"Casinos may offer some economic benefits to a community, however these are almost exclusively to the (non-local) owners and operators."
Strongly Opposed,The promised profits will not materialize (proven by research on this topic)
Strongly in Favour,Boosts tourism
Somewhat Opposed,Believe that casinos take advantage of people. I think they enable people with problems to feed their gambling addiction.
Strongly Opposed,Promotes crime
Strongly Opposed,Gambling is an addiction for many
Strongly Opposed,Gambling addiction
Strongly in Favour,JOBS
Somewhat Opposed,Gambling is a downward spiral for many. Making it easier to do so is not good for the people of Toronto
Strongly in Favour,Entertainment
Strongly in Favour,Will add to the draw and allure to the City
Strongly Opposed,They hurt local businesses
Strongly Opposed,I have experienced the casino culture in other municipalities and I simply don't want to live in one.
Strongly Opposed,We have more than enough gambling in Ontario now.
Strongly Opposed,Toronto does not need a casino.
Strongly in Favour,high end entertainment complex
Strongly in Favour,job/economic growth
Strongly Opposed,damage to families from family members who are gambling addicts
Strongly Opposed,encourages addiction
Strongly Opposed,"huge parking lot required, taking valuable land away from public use especially on the waterfront"
Strongly in Favour,I think Toronto could benefit from the revenue
Strongly Opposed,No substantiated benefits to surrounding area.
Strongly Opposed,I resent the influence the american casino lobby has exercised on the spineless politicians who have caved to their influence and sacrificed the racing industry to the american interests and coffers.
Strongly in Favour,Would like a place to play poker and blackjack
Strongly Opposed,casinos are a net loss to communities and individuals
Strongly Opposed,toronto already has a diverse economic base
